"Breed","height_low_m","height_high_m","weight_low_kg","weight_high_kg","height_avg","weight_avg","bmi_low","bmi_avg","bmi_high"
"Saint Bernard",0.635,0.7112,49.89512,86.18248,0.6731,68.0388,123.74014508029,150.174939011323,170.386621385488
"Afghan Hound",0.635,0.6858,22.6796,27.21552,0.6604,24.94756,56.245520491041,57.2023599668501,57.8657618220586
"Alaskan Malamute",0.5588,0.6604,31.75144,43.09124,0.6096,37.42134,101.68353394558,100.699987858309,98.8040763063775
"American Foxhound",0.5588,0.635,29.48348,31.75144,0.5969,30.61746,94.4204243780389,85.9341926922876,78.7437286874574
"Beauceron",0.6096,0.6858,45.3592,54.43104,0.6477,49.89512,122.060591343405,118.935164437034,115.731523644117
"Belgian Malinois",0.5588,0.6604,27.21552,29.48348,0.6096,28.3495,87.1573148104974,76.2878695896281,67.6027890517319
"Belgian Sheepdog",0.5588,0.6604,27.21552,34.0194,0.6096,30.61746,87.1573148104974,82.3908991567983,78.0032181366138
"Belgian Tervuren",0.5588,0.6604,27.21552,34.0194,0.6096,30.61746,87.1573148104974,82.3908991567983,78.0032181366138
"Black And Tan Coonhound",0.5842,0.6858,22.6796,34.0194,0.635,28.3495,66.4526470829879,70.3069006138012,72.3322022775733
"Black Russian Terrier",0.635,0.7366,36.28736,63.50288,0.6858,49.89512,89.9928327856656,106.087230007107,117.038835742356
"Bouvier Des Flandres",0.5842,0.6858,34.0194,43.09124,0.635,38.55532,99.6789706244819,95.6173848347697,91.6207895515928
"Boxer",0.5334,0.635,29.48348,31.75144,0.5842,30.61746,103.626951018074,89.7110735620337,78.7437286874574
"Briard",0.5842,0.6858,33.565808,34.472992,0.635,34.0194,98.3499176828221,84.3682807365615,73.2966316412743
"Chesapeake Bay Retriever",0.5334,0.6604,24.94756,34.0194,0.5969,29.48348,87.6843431691399,82.7514448147955,78.0032181366138
"Clumber Spaniel",0.4826,0.508,15.87572,29.48348,0.4953,22.6796,68.1645850826328,92.448258532283,114.248713497427
"Collie (Rough) & (Smooth)",0.5588,0.6604,22.6796,34.0194,0.6096,28.3495,72.6310956754145,76.2878695896281,78.0032181366138
"Curly Coated Retriever",0.635,0.6858,29.48348,36.28736,0.6604,32.88542,73.1191766383533,75.4031108653933,77.1543490960782
"Doberman Pinscher",0.6604,0.7112,27.21552,45.3592,0.6858,36.28736,62.402574509291,77.1543490960782,89.6771691502567
"English Foxhound",0.5588,0.635,29.48348,31.75144,0.5969,30.61746,94.4204243780389,85.9341926922876,78.7437286874574
"English Setter",0.5842,0.6858,20.41164,36.28736,0.635,28.3495,59.8073823746891,70.3069006138012,77.1543490960782
"German Shepherd Dog",0.5588,0.6604,34.0194,40.82328,0.6096,37.42134,108.946643513122,100.699987858309,93.6038617639365
"German Shorthaired Pointer",0.508,0.6858,22.6796,36.28736,0.5969,29.48348,87.8836257672515,82.7514448147955,77.1543490960782
"German Wirehaired Pointer",0.5588,0.6604,27.21552,31.75144,0.6096,29.48348,87.1573148104974,79.3393843732132,72.8030035941729
"Giant Schnauzer",0.635,0.7112,31.75144,34.0194,0.6731,32.88542,78.7437286874574,72.5845538554729,67.2578768626925
"Golden Retriever",0.5334,0.6096,24.94756,34.0194,0.5715,29.48348,87.6843431691399,90.2705884424115,91.5454435075537
"Gordon Setter",0.5842,0.6858,20.41164,36.28736,0.635,28.3495,59.8073823746891,70.3069006138012,77.1543490960782
"Greyhound",0.6858,0.762,27.21552,31.75144,0.7239,29.48348,57.8657618220586,56.2628321316969,54.6831449218454
"Irish Setter",0.635,0.6858,27.21552,31.75144,0.6604,29.48348,67.4946245892492,67.6027890517319,67.5100554590684
"Komondor",0.6731,0.9017,36.28736,61.23492,0.7874,48.76114,80.0933008060392,78.6471572943146,75.3138788562838
"Labrador Retriever",0.5334,0.6096,24.94756,36.28736,0.5715,30.61746,87.6843431691399,93.742534151735,97.648473074724
"Old English Sheepdog (Bobtail)",0.508,0.6096,27.21552,29.48348,0.5588,28.3495,105.460350920702,90.7888695942681,79.3393843732132
"Poodle Standard",0.381,0.635,20.41164,20.41164,0.508,20.41164,140.613801227602,79.0952631905264,50.6209684419369
"Rhodesian Ridgeback",0.6096,0.6858,31.75144,38.55532,0.6477,35.15338,85.4424139403834,83.7952294897285,81.9764959145831
"Scottish Deerhound",0.7112,0.8128,34.0194,49.89512,0.762,41.95726,67.2578768626925,72.2598700752957,75.5249908937318
"Spinone Italiano",0.5842,0.7112,29.48348,36.28736,0.6477,32.88542,86.3884412078843,78.3890856516815,71.7417353202053
"Tibetan Mastiff",0.6096,0.6604,63.50288,77.11064,0.635,70.30676,170.884827880767,174.361113522227,176.807294442991
"Weimaraner",0.635,0.6858,31.75144,38.55532,0.6604,35.15338,78.7437286874574,80.6033254078342,81.9764959145831
"Airdale Terrier",0.5588,0.6096,20.41164,20.41164,0.5842,20.41164,65.3679861078731,59.8073823746891,54.9272661045322
"American Staffordshire Terrier",0.4318,0.4826,18.14368,22.6796,0.4572,20.41164,97.310589084846,97.648473074724,97.3779786894754
"American Water Spaniel",0.381,0.4572,11.3398,20.41164,0.4191,15.87572,78.1187784597791,90.3853635071825,97.6484730747239
"Australian Cattle Dog",0.4318,0.508,15.87572,20.41164,0.4699,18.14368,85.1467654492402,82.1702271600306,79.0952631905264
"Australian Shepherd",0.4572,0.5842,18.14368,27.21552,0.5207,22.6796,86.7986427330879,83.6489001948855,79.7431764995855
"Basset Hound",0.3556,0.3556,18.14368,22.6796,0.3556,20.41164,143.483470640411,161.418904470462,179.354338300513
"Bearded Collie",0.508,0.5588,18.14368,27.21552,0.5334,22.6796,70.3069006138012,79.7130392446726,87.1573148104974
"Border Collie",0.4826,0.5334,18.14368,18.14368,0.508,18.14368,77.9023829515803,70.3069006138012,63.7704313957381
"Brittany",0.4318,0.5334,13.60776,18.14368,0.4826,15.87572,72.9829418136345,68.1645850826328,63.7704313957381
"Bull Dog",0.3048,0.4064,22.6796,27.21552,0.3556,24.94756,244.12118268681,197.289772130565,164.781798313597
"Bull Terrier",0.5334,0.5588,22.6796,31.75144,0.5461,27.21552,79.7130392446726,91.2582809481465,101.68353394558
"Canaan Dog",0.4826,0.6096,15.87572,24.94756,0.5461,20.41164,68.1645850826328,68.4437107111099,67.1333252388727
